ticker,current_price,sma_5,sma_10,sma_20,sma_50,analysis_date,signal_vs_sma5,signal_vs_sma20
AAPL,254.94000244140625,254.92599487304688,247.18499755859375,240.7384994506836,228.36327026367186,2025-09-26 22:40:20,BUY,BUY
MSFT,508.4324951171875,509.85850219726564,511.0092498779297,506.90562591552737,511.6332531738281,2025-09-26 22:40:20,SELL,BUY
GOOGL,247.3300018310547,248.88999938964844,250.35,240.93636016845704,215.26480895996093,2025-09-26 22:40:21,SELL,BUY
AMZN,219.4001007080078,221.22002258300782,226.59100952148438,228.8380043029785,227.37620147705078,2025-09-26 22:40:21,SELL,SELL
TSLA,425.5,430.34800415039064,425.21800231933594,387.23899993896487,351.6643994140625,2025-09-26 22:40:21,SELL,BUY
NVDA,176.2100067138672,178.58200073242188,176.8740005493164,174.71563644409179,176.51544158935548,2025-09-26 22:40:21,SELL,BUY
META,742.9000244140625,754.6059936523437,764.8464233398438,756.5921691894531,750.5749353027344,2025-09-26 22:40:21,SELL,SELL
NFLX,1205.85498046875,1212.7769775390625,1212.9904907226562,1221.3702392578125,1208.6704907226563,2025-09-26 22:40:21,SELL,SELL
JPM,314.510009765625,313.3120056152344,312.4410034179688,306.35050506591796,298.7880017089844,2025-09-26 22:40:21,BUY,BUY
BAC,52.14509963989258,51.86301956176758,51.6345100402832,50.902431678771975,48.815105209350584,2025-09-26 22:40:21,BUY,BUY
GS,802.864990234375,800.3869995117187,797.7755004882813,775.5832489013671,744.2559045410156,2025-09-26 22:40:21,BUY,BUY
MS,160.24319458007812,159.7086395263672,158.75532073974608,155.10165939331054,148.3074215698242,2025-09-26 22:40:21,BUY,BUY
C,102.97000122070312,102.64400024414063,102.05000076293945,99.40000038146972,96.10323822021485,2025-09-26 22:40:21,BUY,BUY
V,337.0299987792969,338.7399963378906,339.8769958496094,342.6514953613281,344.39466857910156,2025-09-26 22:40:21,SELL,SELL
MA,565.0,571.1139892578125,579.3789916992188,583.6604919433594,578.0195971679688,2025-09-26 22:40:21,SELL,SELL
PYPL,66.7699966430664,67.27199859619141,67.56799926757813,67.86799964904785,69.57920028686523,2025-09-26 22:40:21,SELL,SELL
JNJ,178.98500061035156,176.83900146484376,176.5605010986328,177.17324981689453,173.48312286376952,2025-09-26 22:40:21,BUY,BUY
PFE,23.665000915527344,23.905000305175783,23.9625,24.30675001144409,24.5074361038208,2025-09-26 22:40:21,SELL,SELL
MRK,77.82469940185547,79.09093933105468,80.17446899414062,81.83633575439453,81.7608511352539,2025-09-26 22:40:21,SELL,SELL
UNH,343.42999267578125,345.95799560546874,343.05799865722656,334.1724029541016,299.1847412109375,2025-09-26 22:40:21,SELL,BUY
ABBV,219.69000244140625,220.68399963378906,220.25599975585936,216.63549880981446,205.83700012207032,2025-09-26 22:40:21,SELL,BUY
WMT,103.25,102.8740005493164,103.16800003051758,101.92550048828124,100.04730056762695,2025-09-26 22:40:21,BUY,BUY
COST,921.0,939.2880004882812,947.5159973144531,953.303500366211,955.691083984375,2025-09-26 22:40:21,SELL,SELL
PG,152.07000732421875,152.44200134277344,155.0780014038086,156.77700119018556,155.9514001464844,2025-09-26 22:40:21,SELL,SELL
KO,66.1449966430664,66.2989990234375,66.38749923706055,66.98410491943359,68.18143203735352,2025-09-26 22:40:21,SELL,SELL
PEP,140.52000427246094,141.10799865722657,140.9929977416992,143.01255645751954,143.56125915527343,2025-09-26 22:40:21,SELL,SELL
MCD,303.875,303.3369934082031,303.0535003662109,307.5457504272461,305.0749176025391,2025-09-26 22:40:21,BUY,SELL
TGT,88.28500366210938,87.46900024414063,88.2104995727539,90.17124977111817,97.26480285644531,2025-09-26 22:40:21,BUY,SELL
XOM,117.96499633789062,114.81699676513672,114.31549835205078,113.14874992370605,110.3144709777832,2025-09-26 22:40:21,BUY,BUY
CVX,160.49000549316406,158.77200012207032,158.58499908447266,157.9845001220703,155.09671508789063,2025-09-26 22:40:21,BUY,BUY
COP,99.26499938964844,95.43699951171875,94.32750015258789,94.43724975585937,94.39961654663085,2025-09-26 22:40:21,BUY,BUY
BA,221.17559814453125,215.647119140625,215.49456024169922,222.18328094482422,226.42511199951173,2025-09-26 22:40:21,BUY,SELL
CAT,463.6700134277344,468.1080078125,460.131005859375,441.0750015258789,430.78380126953124,2025-09-26 22:40:21,SELL,BUY
GE,296.1549987792969,300.05699462890624,296.77649841308596,287.73674926757815,277.04869873046874,2025-09-26 22:40:21,SELL,BUY
MMM,153.2050018310547,154.1970001220703,155.13050079345703,155.09575119018555,153.4838705444336,2025-09-26 22:40:21,SELL,SELL
DIS,113.08999633789062,112.86399841308594,113.98899993896484,115.78399963378907,116.99319961547852,2025-09-26 22:40:21,BUY,SELL
CMCSA,31.739999771118164,31.616000366210937,31.86500015258789,32.805500221252444,33.14360008239746,2025-09-26 22:40:21,BUY,SELL
T,28.434999465942383,28.552999877929686,28.94650020599365,29.131250190734864,28.562300071716308,2025-09-26 22:40:21,SELL,SELL
VZ,43.61000061035156,43.32999954223633,43.56199951171875,43.721999931335446,43.50479995727539,2025-09-26 22:40:21,BUY,SELL
ORCL,286.4100036621094,305.6359924316406,304.3659973144531,279.1349967956543,258.56379852294924,2025-09-26 22:40:21,SELL,BUY
ADBE,355.04998779296875,357.6679931640625,358.35999755859376,354.5249984741211,355.32299743652345,2025-09-26 22:40:21,SELL,BUY
CRM,241.99000549316406,244.61600036621093,243.76524353027344,246.4791572570801,249.09338806152343,2025-09-26 22:40:21,SELL,SELL
INTC,35.005001068115234,31.66300048828125,29.340500259399413,26.872250175476076,24.136300048828126,2025-09-26 22:40:21,BUY,BUY
AMD,158.79010009765625,160.32601928710938,159.77201080322266,158.93700637817383,165.3568017578125,2025-09-26 22:40:21,SELL,SELL
